,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Spatial neighborhood MI
127,Q0.010,4.1579381929700405,rep0,0.215,10936,PCA,0.06756944364464608
128,Q0.010,4.1579381929700405,rep0,0.215,10936,RandomProjection,0.04132941979965071
129,Q0.010,4.1579381929700405,rep0,0.464,23602,VAE,0.07091387092968737
130,Q0.010,4.1579381929700405,rep0,0.464,23602,PCA,0.05982944222205454
131,Q0.010,4.1579381929700405,rep0,0.464,23602,RandomProjection,0.02979352486542424
132,Q0.010,4.1579381929700405,rep0,1.0,50868,VAE,0.09134643891581791
133,Q0.010,4.1579381929700405,rep0,1.0,50868,PCA,0.06213625826195762
134,Q0.010,4.1579381929700405,rep0,1.0,50868,RandomProjection,0.046199569529699024
135,Q0.010,4.1579381929700405,rep0,1.0,50868,nanoTxformer,0.021153455030509232
136,Q0.022,8.971514508138712,rep0,0.001,50,VAE,0.10973087275253192
137,Q0.022,8.971514508138712,rep0,0.001,50,PCA,0.12557744688063152
138,Q0.022,8.971514508138712,rep0,0.001,50,RandomProjection,0.053003806794051665
139,Q0.022,8.971514508138712,rep0,0.001,50,nanoTxformer,0.037695142788809116
140,Q0.022,8.971514508138712,rep0,0.002,101,VAE,0.1185719522046782
141,Q0.022,8.971514508138712,rep0,0.002,101,PCA,0.1087213399936515
142,Q0.022,8.971514508138712,rep0,0.002,101,RandomProjection,0.02387669833185127
143,Q0.022,8.971514508138712,rep0,0.005,254,VAE,0.1739349967495139
144,Q0.022,8.971514508138712,rep0,0.005,254,PCA,0.1347682248935034
145,Q0.022,8.971514508138712,rep0,0.005,254,RandomProjection,0.04730173214248654
146,Q0.022,8.971514508138712,rep0,0.01,508,VAE,0.15403003269548549
147,Q0.022,8.971514508138712,rep0,0.01,508,PCA,0.12296245897655962
148,Q0.022,8.971514508138712,rep0,0.01,508,RandomProjection,0.030201674547968186
149,Q0.022,8.971514508138712,rep0,0.01,508,nanoTxformer,0.08535802906723197
150,Q0.022,8.971514508138712,rep0,0.022,1119,VAE,0.1519894540632067
151,Q0.022,8.971514508138712,rep0,0.022,1119,PCA,0.13012460556456817
152,Q0.022,8.971514508138712,rep0,0.022,1119,RandomProjection,0.07040091828835303
153,Q0.022,8.971514508138712,rep0,0.046,2339,VAE,0.17195096070369162
154,Q0.022,8.971514508138712,rep0,0.046,2339,PCA,0.13398009163069477
155,Q0.022,8.971514508138712,rep0,0.046,2339,RandomProjection,0.058032298575806406
156,Q0.022,8.971514508138712,rep0,0.1,5086,VAE,0.19578035875243413
157,Q0.022,8.971514508138712,rep0,0.1,5086,PCA,0.12787341759175286
158,Q0.022,8.971514508138712,rep0,0.1,5086,RandomProjection,0.08160467143733705
159,Q0.022,8.971514508138712,rep0,0.1,5086,nanoTxformer,0.026332415584784684
160,Q0.022,8.971514508138712,rep0,0.215,10936,VAE,0.22129575135119225
161,Q0.022,8.971514508138712,rep0,0.215,10936,PCA,0.12638898215593894
162,Q0.022,8.971514508138712,rep0,0.215,10936,RandomProjection,0.050402082321452636
163,Q0.022,8.971514508138712,rep0,0.464,23602,VAE,0.24238544423604919
164,Q0.022,8.971514508138712,rep0,0.464,23602,PCA,0.151380680300842
165,Q0.022,8.971514508138712,rep0,0.464,23602,RandomProjection,0.040017199446786285
166,Q0.022,8.971514508138712,rep0,1.0,50868,VAE,0.26423900199212774
167,Q0.022,8.971514508138712,rep0,1.0,50868,PCA,0.14986348709815445
168,Q0.022,8.971514508138712,rep0,1.0,50868,RandomProjection,0.04843106091309057
169,Q0.022,8.971514508138712,rep0,1.0,50868,nanoTxformer,0.05592171363762648
170,Q0.046,19.266749233309742,rep0,0.001,50,VAE,0.25077011066012034
171,Q0.046,19.266749233309742,rep0,0.001,50,PCA,0.22731223552713614
172,Q0.046,19.266749233309742,rep0,0.001,50,RandomProjection,0.08732475147879229
173,Q0.046,19.266749233309742,rep0,0.001,50,nanoTxformer,0.07904336400362627
174,Q0.046,19.266749233309742,rep0,0.002,101,VAE,0.17533060476644138
175,Q0.046,19.266749233309742,rep0,0.002,101,PCA,0.22136332826566163
176,Q0.046,19.266749233309742,rep0,0.002,101,RandomProjection,0.05316136242811315
177,Q0.046,19.266749233309742,rep0,0.005,254,VAE,0.2545854740190798
178,Q0.046,19.266749233309742,rep0,0.005,254,PCA,0.2559554705707936
179,Q0.046,19.266749233309742,rep0,0.005,254,RandomProjection,0.07562661224857449
180,Q0.046,19.266749233309742,rep0,0.01,508,VAE,0.27998662194784774
181,Q0.046,19.266749233309742,rep0,0.01,508,PCA,0.3019481976458938
182,Q0.046,19.266749233309742,rep0,0.01,508,RandomProjection,0.0360366887454836
183,Q0.046,19.266749233309742,rep0,0.01,508,nanoTxformer,0.08942433349467124
184,Q0.046,19.266749233309742,rep0,0.022,1119,VAE,0.2839331846972195
185,Q0.046,19.266749233309742,rep0,0.022,1119,PCA,0.2881386097254105
186,Q0.046,19.266749233309742,rep0,0.022,1119,RandomProjection,0.08714496394990415
187,Q0.046,19.266749233309742,rep0,0.046,2339,VAE,0.37497687417445363
188,Q0.046,19.266749233309742,rep0,0.046,2339,PCA,0.2863191461003547
189,Q0.046,19.266749233309742,rep0,0.046,2339,RandomProjection,0.0945666337413389
190,Q0.046,19.266749233309742,rep0,0.1,5086,VAE,0.3898927909808998
191,Q0.046,19.266749233309742,rep0,0.1,5086,PCA,0.2958327923474966
192,Q0.046,19.266749233309742,rep0,0.1,5086,RandomProjection,0.11529636013580226
193,Q0.046,19.266749233309742,rep0,0.1,5086,nanoTxformer,0.07102970771616438
194,Q0.046,19.266749233309742,rep0,0.215,10936,VAE,0.43879988477805415
195,Q0.046,19.266749233309742,rep0,0.215,10936,PCA,0.3263669217480423
196,Q0.046,19.266749233309742,rep0,0.215,10936,RandomProjection,0.10876853981267627
197,Q0.046,19.266749233309742,rep0,0.464,23602,VAE,0.4747523427128652
198,Q0.046,19.266749233309742,rep0,0.464,23602,PCA,0.3118400343475099
199,Q0.046,19.266749233309742,rep0,0.464,23602,RandomProjection,0.10967172129863685
200,Q0.046,19.266749233309742,rep0,1.0,50868,VAE,0.49467626609842963
201,Q0.046,19.266749233309742,rep0,1.0,50868,PCA,0.28841303119165457
202,Q0.046,19.266749233309742,rep0,1.0,50868,RandomProjection,0.05254116842095228
203,Q0.046,19.266749233309742,rep0,1.0,50868,nanoTxformer,0.06775719238673004
204,Q0.100,41.501179523472516,rep0,0.001,50,VAE,0.3974707483886561
205,Q0.100,41.501179523472516,rep0,0.001,50,PCA,0.43208292511028795
206,Q0.100,41.501179523472516,rep0,0.001,50,RandomProjection,0.10362553242296031
207,Q0.100,41.501179523472516,rep0,0.001,50,nanoTxformer,0.11137887793427996
208,Q0.100,41.501179523472516,rep0,0.002,101,VAE,0.37169125962512856
209,Q0.100,41.501179523472516,rep0,0.002,101,PCA,0.33955570304560717
210,Q0.100,41.501179523472516,rep0,0.002,101,RandomProjection,0.09174839874262929
211,Q0.100,41.501179523472516,rep0,0.005,254,VAE,0.4949916114441543
212,Q0.100,41.501179523472516,rep0,0.005,254,PCA,0.5507081551654825
213,Q0.100,41.501179523472516,rep0,0.005,254,RandomProjection,0.11055313971386907
214,Q0.100,41.501179523472516,rep0,0.01,508,VAE,0.5311286577914712
215,Q0.100,41.501179523472516,rep0,0.01,508,PCA,0.5458188409875383
216,Q0.100,41.501179523472516,rep0,0.01,508,RandomProjection,0.1200168430661306
217,Q0.100,41.501179523472516,rep0,0.01,508,nanoTxformer,0.1641649337816073
218,Q0.100,41.501179523472516,rep0,0.022,1119,VAE,0.609718270329971
219,Q0.100,41.501179523472516,rep0,0.022,1119,PCA,0.5679349960043255
220,Q0.100,41.501179523472516,rep0,0.022,1119,RandomProjection,0.14605476800193412
221,Q0.100,41.501179523472516,rep0,0.046,2339,VAE,0.7590873290620032
222,Q0.100,41.501179523472516,rep0,0.046,2339,PCA,0.5855267231683875
223,Q0.100,41.501179523472516,rep0,0.046,2339,RandomProjection,0.10855135164542534
224,Q0.100,41.501179523472516,rep0,0.1,5086,VAE,0.8509753611377752
225,Q0.100,41.501179523472516,rep0,0.1,5086,PCA,0.5999696159408086
226,Q0.100,41.501179523472516,rep0,0.1,5086,RandomProjection,0.16494997379286322
227,Q0.100,41.501179523472516,rep0,0.1,5086,nanoTxformer,0.14021271516560008
228,Q0.100,41.501179523472516,rep0,0.215,10936,VAE,0.8864162656709805
229,Q0.100,41.501179523472516,rep0,0.215,10936,PCA,0.6235434140080968
230,Q0.100,41.501179523472516,rep0,0.215,10936,RandomProjection,0.1653218456849431
231,Q0.100,41.501179523472516,rep0,0.464,23602,VAE,0.9911496750190044
232,Q0.100,41.501179523472516,rep0,0.464,23602,PCA,0.6183875407372303
233,Q0.100,41.501179523472516,rep0,0.464,23602,RandomProjection,0.14533717646366134
234,Q0.100,41.501179523472516,rep0,1.0,50868,VAE,1.0237545810952429
235,Q0.100,41.501179523472516,rep0,1.0,50868,PCA,0.6312807622505895
236,Q0.100,41.501179523472516,rep0,1.0,50868,RandomProjection,0.14333239628378527
237,Q0.100,41.501179523472516,rep0,1.0,50868,nanoTxformer,0.13471003622629316
238,Q0.215,89.42716442557207,rep0,0.001,50,VAE,0.6370985389660401
239,Q0.215,89.42716442557207,rep0,0.001,50,PCA,0.6038008125963373
240,Q0.215,89.42716442557207,rep0,0.001,50,RandomProjection,0.16653003042595751
241,Q0.215,89.42716442557207,rep0,0.001,50,nanoTxformer,0.17554896039338286
242,Q0.215,89.42716442557207,rep0,0.002,101,VAE,0.8171454139648681
243,Q0.215,89.42716442557207,rep0,0.002,101,PCA,0.7880244077327674
244,Q0.215,89.42716442557207,rep0,0.002,101,RandomProjection,0.15934698896991847
245,Q0.215,89.42716442557207,rep0,0.005,254,VAE,0.8374156098406714
246,Q0.215,89.42716442557207,rep0,0.005,254,PCA,0.9160146636598989
247,Q0.215,89.42716442557207,rep0,0.005,254,RandomProjection,0.1665001560891996
248,Q0.215,89.42716442557207,rep0,0.01,508,VAE,0.9992158615738067
249,Q0.215,89.42716442557207,rep0,0.01,508,PCA,1.000686154431194
250,Q0.215,89.42716442557207,rep0,0.01,508,RandomProjection,0.15205006935829304
251,Q0.215,89.42716442557207,rep0,0.01,508,nanoTxformer,0.2103112603038887
252,Q0.215,89.42716442557207,rep0,0.022,1119,VAE,1.0975382802685
253,Q0.215,89.42716442557207,rep0,0.022,1119,PCA,1.017416473442799
254,Q0.215,89.42716442557207,rep0,0.022,1119,RandomProjection,0.24295468730340347
255,Q0.215,89.42716442557207,rep0,0.046,2339,VAE,1.2150207995462696
256,Q0.215,89.42716442557207,rep0,0.046,2339,PCA,1.0814620275009421
257,Q0.215,89.42716442557207,rep0,0.046,2339,RandomProjection,0.15511870198987415
258,Q0.215,89.42716442557207,rep0,0.1,5086,VAE,1.3184926043454066
259,Q0.215,89.42716442557207,rep0,0.1,5086,PCA,1.091312635851416
260,Q0.215,89.42716442557207,rep0,0.1,5086,RandomProjection,0.235220680252819
261,Q0.215,89.42716442557207,rep0,0.1,5086,nanoTxformer,0.16870366883138063
262,Q0.215,89.42716442557207,rep0,0.215,10936,VAE,1.4106350121142446
263,Q0.215,89.42716442557207,rep0,0.215,10936,PCA,1.0711015697379276
264,Q0.215,89.42716442557207,rep0,0.215,10936,RandomProjection,0.2533471857961151
265,Q0.215,89.42716442557207,rep0,0.464,23602,VAE,1.5409672806826198
266,Q0.215,89.42716442557207,rep0,0.464,23602,PCA,1.1069577620920243
267,Q0.215,89.42716442557207,rep0,0.464,23602,RandomProjection,0.1940594022602552
268,Q0.215,89.42716442557207,rep0,1.0,50868,VAE,1.550878772803906
269,Q0.215,89.42716442557207,rep0,1.0,50868,PCA,1.1251635433532878
270,Q0.215,89.42716442557207,rep0,1.0,50868,RandomProjection,0.22489582969707128
271,Q0.215,89.42716442557207,rep0,1.0,50868,nanoTxformer,0.20496791577409082
272,Q0.464,192.59082330738383,rep0,0.001,50,VAE,0.8373019570798389
273,Q0.464,192.59082330738383,rep0,0.001,50,PCA,0.9296282036170134
274,Q0.464,192.59082330738383,rep0,0.001,50,RandomProjection,0.30449383185518547
275,Q0.464,192.59082330738383,rep0,0.001,50,nanoTxformer,0.30539910152513916
276,Q0.464,192.59082330738383,rep0,0.002,101,VAE,1.1096723725289024
277,Q0.464,192.59082330738383,rep0,0.002,101,PCA,1.286501884089633
278,Q0.464,192.59082330738383,rep0,0.002,101,RandomProjection,0.2509597793188528
279,Q0.464,192.59082330738383,rep0,0.005,254,VAE,1.3727821903345105
280,Q0.464,192.59082330738383,rep0,0.005,254,PCA,1.38568278251942
281,Q0.464,192.59082330738383,rep0,0.005,254,RandomProjection,0.253814682102708
