,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Protein MI,Cell type coarse MI,Cell type fine MI
208,Q0.100,815.5538081211866,rep0,0.002,228,VAE,2.9199573037631295,1.907584529943889,2.536233892441057
209,Q0.100,815.5538081211866,rep0,0.002,228,PCA,2.7955908050379312,1.8080648336141933,2.4516745999152634
210,Q0.100,815.5538081211866,rep0,0.002,228,RandomProjection,1.8056076019409244,1.4361016100520545,1.798941845996267
211,Q0.100,815.5538081211866,rep0,0.005,570,VAE,2.919454998621109,1.8934299862487134,2.541371075429464
212,Q0.100,815.5538081211866,rep0,0.005,570,PCA,2.8784148879045364,1.8123941230329241,2.4643012633108774
213,Q0.100,815.5538081211866,rep0,0.005,570,RandomProjection,1.7344430751690028,1.4299229509575844,1.6317733023044092
214,Q0.100,815.5538081211866,rep0,0.01,1140,VAE,3.0382827958426115,1.9303030399112204,2.632868304067207
215,Q0.100,815.5538081211866,rep0,0.01,1140,PCA,2.891398522401381,1.6746178389801607,2.5107787149659337
216,Q0.100,815.5538081211866,rep0,0.01,1140,RandomProjection,1.9689615501269044,1.5733048255444877,1.846798086773161
217,Q0.100,815.5538081211866,rep0,0.01,1140,nanoTxformer,2.37473642936275,1.8728715593817642,2.375099161010844
218,Q0.100,815.5538081211866,rep0,0.022,2509,VAE,3.0755140084348764,1.9246460423950325,2.6904535887208922
219,Q0.100,815.5538081211866,rep0,0.022,2509,PCA,2.8786069062268504,1.7202270655778205,2.504311274714954
220,Q0.100,815.5538081211866,rep0,0.022,2509,RandomProjection,1.9873912372255391,1.5671672496864706,1.8730379750078172
221,Q0.100,815.5538081211866,rep0,0.046,5247,VAE,3.1266689607772156,1.9718653209984882,2.7373055935622306
222,Q0.100,815.5538081211866,rep0,0.046,5247,PCA,2.895880514116753,1.8157822093313933,2.4358732654748807
223,Q0.100,815.5538081211866,rep0,0.046,5247,RandomProjection,1.9559613045831117,1.5723420584624408,1.8722093415699539
224,Q0.100,815.5538081211866,rep0,0.1,11407,VAE,3.1795699329458134,1.989299316950841,2.786778106757022
225,Q0.100,815.5538081211866,rep0,0.1,11407,PCA,2.9265641966427873,1.8570724398322442,2.4885720659163795
226,Q0.100,815.5538081211866,rep0,0.1,11407,RandomProjection,1.7490336574331182,1.439214701664414,1.7240399719249877
227,Q0.100,815.5538081211866,rep0,0.1,11407,nanoTxformer,2.4508184253691625,1.8699742226296876,2.358398069914593
228,Q0.100,815.5538081211866,rep0,0.215,24525,VAE,3.3080697355231936,2.0134969192486567,2.8876642478082735
229,Q0.100,815.5538081211866,rep0,0.215,24525,PCA,2.9452206248714328,1.8558333927801896,2.4575141440812813
230,Q0.100,815.5538081211866,rep0,0.215,24525,RandomProjection,1.998923116091884,1.5277742393881604,1.9395373993660534
231,Q0.100,815.5538081211866,rep0,0.464,52929,VAE,3.3313673365317946,1.9916646115667882,2.8601436599831294
232,Q0.100,815.5538081211866,rep0,0.464,52929,PCA,2.8251500078892002,1.8556876713711838,2.466131938421589
