,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Clonal MI
107,Q0.010,25.88332009045902,rep0,0.002,392,PCA,0.05110875503030389
108,Q0.010,25.88332009045902,rep0,0.002,392,RandomProjection,0.039537966740457633
109,Q0.010,25.88332009045902,rep0,0.005,981,VAE,0.04247503806283628
110,Q0.010,25.88332009045902,rep0,0.005,981,PCA,0.05283356622000332
111,Q0.010,25.88332009045902,rep0,0.005,981,RandomProjection,0.06611499226866677
112,Q0.010,25.88332009045902,rep0,0.01,1963,VAE,0.08307635740796712
113,Q0.010,25.88332009045902,rep0,0.01,1963,PCA,0.0172668644001763
114,Q0.010,25.88332009045902,rep0,0.01,1963,RandomProjection,0.040486981149497066
115,Q0.010,25.88332009045902,rep0,0.01,1963,nanoTxformer,-0.02658439769305063
116,Q0.010,25.88332009045902,rep0,0.022,4319,VAE,0.057024324780476185
117,Q0.010,25.88332009045902,rep0,0.022,4319,PCA,0.05919487639981048
118,Q0.010,25.88332009045902,rep0,0.022,4319,RandomProjection,0.05183911291091147
119,Q0.010,25.88332009045902,rep0,0.046,9031,VAE,0.08750069819826826
120,Q0.010,25.88332009045902,rep0,0.046,9031,PCA,0.011087392165662723
121,Q0.010,25.88332009045902,rep0,0.046,9031,RandomProjection,0.02294443333416452
122,Q0.010,25.88332009045902,rep0,0.1,19633,VAE,0.10128398157237668
123,Q0.010,25.88332009045902,rep0,0.1,19633,PCA,0.06035076377577961
124,Q0.010,25.88332009045902,rep0,0.1,19633,RandomProjection,0.059700251283511266
125,Q0.010,25.88332009045902,rep0,0.1,19633,nanoTxformer,0.08980071135356663
126,Q0.010,25.88332009045902,rep0,0.215,42211,VAE,0.1463575886114502
127,Q0.010,25.88332009045902,rep0,0.215,42211,PCA,-0.03641431817149121
128,Q0.010,25.88332009045902,rep0,0.215,42211,RandomProjection,0.021927970102275773
129,Q0.010,25.88332009045902,rep0,0.464,91098,VAE,0.0156310839477931
130,Q0.010,25.88332009045902,rep0,0.464,91098,PCA,0.018468757826102092
131,Q0.010,25.88332009045902,rep0,0.464,91098,RandomProjection,0.028836717095589066
132,Q0.010,25.88332009045902,rep0,1.0,196332,VAE,0.08423418628825652
133,Q0.010,25.88332009045902,rep0,1.0,196332,PCA,0.11784736375847295
134,Q0.010,25.88332009045902,rep0,1.0,196332,RandomProjection,-0.022975702624933775
135,Q0.010,25.88332009045902,rep0,1.0,196332,nanoTxformer,-0.002064081215849714
136,Q0.022,55.726789316056475,rep0,0.001,196,VAE,0.14499652034726476
137,Q0.022,55.726789316056475,rep0,0.001,196,PCA,0.16760114228706544
138,Q0.022,55.726789316056475,rep0,0.001,196,RandomProjection,0.1203676187403103
139,Q0.022,55.726789316056475,rep0,0.001,196,nanoTxformer,0.011886409730527053
140,Q0.022,55.726789316056475,rep0,0.002,392,VAE,0.0926954316065995
141,Q0.022,55.726789316056475,rep0,0.002,392,PCA,0.04398942013394041
142,Q0.022,55.726789316056475,rep0,0.002,392,RandomProjection,0.07607578777541338
143,Q0.022,55.726789316056475,rep0,0.005,981,VAE,0.20088669697787975
144,Q0.022,55.726789316056475,rep0,0.005,981,PCA,0.031156813738014322
145,Q0.022,55.726789316056475,rep0,0.005,981,RandomProjection,0.0912515396963019
146,Q0.022,55.726789316056475,rep0,0.01,1963,VAE,0.1513581117253102
147,Q0.022,55.726789316056475,rep0,0.01,1963,PCA,0.10210902902457603
148,Q0.022,55.726789316056475,rep0,0.01,1963,RandomProjection,0.08795767542423802
149,Q0.022,55.726789316056475,rep0,0.01,1963,nanoTxformer,0.11196488253651764
150,Q0.022,55.726789316056475,rep0,0.022,4319,VAE,0.24126510009895458
151,Q0.022,55.726789316056475,rep0,0.022,4319,PCA,0.12595251858284096
152,Q0.022,55.726789316056475,rep0,0.022,4319,RandomProjection,0.13463307421413445
153,Q0.022,55.726789316056475,rep0,0.046,9031,VAE,0.34869098177333724
154,Q0.022,55.726789316056475,rep0,0.046,9031,PCA,0.11669778528032106
155,Q0.022,55.726789316056475,rep0,0.046,9031,RandomProjection,0.07077085252344643
156,Q0.022,55.726789316056475,rep0,0.1,19633,VAE,0.3190233226751873
157,Q0.022,55.726789316056475,rep0,0.1,19633,PCA,0.13784687188431494
